Season,Team,Conf,Class,Pos,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds.1,Y/R,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2017*,Florida State,ACC,FR,RB,13,194,1024,5.3,7,78.8,16,116,7.3,1,8.9,210,1140,5.4,8,,Cam Akers
2018,Florida State,ACC,SO,RB,12,161,706,4.4,6,58.8,23,145,6.3,2,12.1,184,851,4.6,8,,Cam Akers
2019*,Florida State,ACC,JR,RB,11,231,1144,5.0,14,104.0,30,225,7.5,4,20.5,261,1369,5.2,18,,Cam Akers
Career,Career,Career,Career,RB,36,586,2874,4.9,27,79.8,69,486,7.0,7,13.5,655,3360,5.1,34,,Cam Akers
