Season,Team,Conf,Class,Pos,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds.1,Y/R,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2015*,USC,Pac-12,FR,RB,14,153,987,6.5,8,70.5,7,39,5.6,1,2.8,160,1026,6.4,9,,Ronald Jones II
2016*,USC,Pac-12,SO,RB,13,177,1082,6.1,12,83.2,11,76,6.9,1,5.8,188,1158,6.2,13,,Ronald Jones II
2017*,USC,Pac-12,JR,RB,13,261,1550,5.9,19,119.2,14,187,13.4,1,14.4,275,1737,6.3,20,,Ronald Jones II
Career,Career,Career,Career,RB,40,591,3619,6.1,39,90.5,32,302,9.4,3,7.6,623,3921,6.3,42,,Ronald Jones II
