Season,Team,Conf,Class,Pos,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds.1,Y/R,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2017*,Alabama,SEC,FR,RB,14,61,370,6.1,3,26.4,6,45,7.5,0,3.2,67,415,6.2,3,,Najee Harris
2018*,Alabama,SEC,SO,RB,15,117,783,6.7,4,52.2,4,7,1.8,0,0.5,121,790,6.5,4,,Najee Harris
2019*,Alabama,SEC,JR,RB,13,209,1224,5.9,13,94.2,27,304,11.3,7,23.4,236,1528,6.5,20,,Najee Harris
2020*,Alabama,SEC,SR,RB,13,251,1466,5.8,26,112.8,43,425,9.9,4,32.7,294,1891,6.4,30,H-5AA,Najee Harris
Career,Career,Career,Career,RB,55,638,3843,6.0,46,69.9,80,781,9.8,11,14.2,718,4624,6.4,57,,Najee Harris
