Season,Team,Conf,Class,Pos,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds.1,Y/R,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2014*,Georgia,SEC,FR,RB,8,64,410,6.4,5,51.3,7,106,15.1,1,13.3,71,516,7.3,6,,Sony Michel
2015*,Georgia,SEC,SO,RB,13,219,1161,5.3,8,89.3,26,270,10.4,3,20.8,245,1431,5.8,11,,Sony Michel
2016*,Georgia,SEC,JR,RB,12,152,840,5.5,4,70.0,22,149,6.8,1,12.4,174,989,5.7,5,,Sony Michel
2017*,Georgia,SEC,SR,RB,14,156,1227,7.9,16,87.6,9,96,10.7,1,6.9,165,1323,8.0,17,,Sony Michel
Career,Career,Career,Career,RB,47,591,3638,6.2,33,77.4,64,621,9.7,6,13.2,655,4259,6.5,39,,Sony Michel
