Season,Team,Conf,Class,Pos,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds.1,Y/R,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2014*,Stanford,Pac-12,FR,RB,13,42,300,7.1,0,23.1,17,251,14.8,2,19.3,59,551,9.3,2,,Christian McCaffrey
2015*,Stanford,Pac-12,SO,RB,14,337,2019,6.0,8,144.2,45,645,14.3,5,46.1,382,2664,7.0,13,H-2AA,Christian McCaffrey
2016*,Stanford,Pac-12,JR,RB,11,253,1603,6.3,13,145.7,37,310,8.4,3,28.2,290,1913,6.6,16,H-9,Christian McCaffrey
Career,Career,Career,Career,RB,38,632,3922,6.2,21,103.2,99,1206,12.2,10,31.7,731,5128,7.0,31,,Christian McCaffrey
