Season,Team,Conf,Class,Pos,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds.1,Y/R,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2017*,LSU,SEC,FR,RB,13,9,31,3.4,0,2.4,3,46,15.3,0,3.5,12,77,6.4,0,,Clyde Edwards-Helaire
2018*,LSU,SEC,SO,RB,13,146,658,4.5,7,50.6,11,96,8.7,0,7.4,157,754,4.8,7,,Clyde Edwards-Helaire
2019*,LSU,SEC,JR,RB,15,215,1414,6.6,16,94.3,55,453,8.2,1,30.2,270,1867,6.9,17,,Clyde Edwards-Helaire
Career,Career,Career,Career,RB,41,370,2103,5.7,23,51.3,69,595,8.6,1,14.5,439,2698,6.1,24,,Clyde Edwards-Helaire
