Season,Team,Conf,Class,Pos,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds.1,Y/R,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2017*,Georgia,SEC,FR,RB,15,81,618,7.6,3,41.2,17,153,9.0,1,10.2,98,771,7.9,4,,D'Andre Swift
2018*,Georgia,SEC,SO,RB,14,163,1049,6.4,10,74.9,32,297,9.3,3,21.2,195,1346,6.9,13,,D'Andre Swift
2019*,Georgia,SEC,JR,RB,14,196,1218,6.2,7,87.0,24,216,9.0,1,15.4,220,1434,6.5,8,,D'Andre Swift
Career,Career,Career,Career,RB,43,440,2885,6.6,20,67.1,73,666,9.1,5,15.5,513,3551,6.9,25,,D'Andre Swift
