Season,Team,Conf,Class,Pos,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds.1,Y/R,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2012*,LSU,SEC,FR,RB,12,142,755,5.3,12,62.9,8,73,9.1,0,6.1,150,828,5.5,12,,Jeremy Hill
2013*,LSU,SEC,SO,RB,12,203,1401,6.9,16,116.8,18,181,10.1,0,15.1,221,1582,7.2,16,,Jeremy Hill
Career,Career,Career,Career,RB,24,345,2156,6.2,28,89.8,26,254,9.8,0,10.6,371,2410,6.5,28,,Jeremy Hill
