Season,Team,Conf,Class,Pos,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds.1,Y/R,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2015*,Auburn,SEC,FR,RB,13,52,208,4.0,3,16.0,14,159,11.4,0,12.2,66,367,5.6,3,,Kerryon Johnson
2016*,Auburn,SEC,SO,RB,12,182,895,4.9,11,74.6,17,125,7.4,0,10.4,199,1020,5.1,11,,Kerryon Johnson
2017*,Auburn,SEC,JR,RB,12,285,1391,4.9,18,115.9,24,194,8.1,2,16.2,309,1585,5.1,20,H-9,Kerryon Johnson
Career,Career,Career,Career,RB,37,519,2494,4.8,32,67.4,55,478,8.7,2,12.9,574,2972,5.2,34,,Kerryon Johnson
