Season,Team,Conf,Class,Pos,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds.1,Y/R,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2012*,Georgia,SEC,FR,RB,14,222,1385,6.2,17,98.9,16,117,7.3,0,8.4,238,1502,6.3,17,,Todd Gurley
2013*,Georgia,SEC,SO,RB,10,165,989,6.0,10,98.9,37,441,11.9,6,44.1,202,1430,7.1,16,,Todd Gurley
2014*,Georgia,SEC,JR,RB,6,123,911,7.4,9,151.8,12,57,4.8,0,9.5,135,968,7.2,9,,Todd Gurley
Career,Career,Career,Career,RB,30,510,3285,6.4,36,109.5,65,615,9.5,6,20.5,575,3900,6.8,42,,Todd Gurley
