Season,Team,Conf,Class,Pos,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds.1,Y/R,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2016*,Penn State,Big Ten,FR,RB,13,25,184,7.4,1,14.2,2,24,12.0,1,1.8,27,208,7.7,2,,Miles Sanders
2017*,Penn State,Big Ten,SO,RB,12,31,191,6.2,2,15.9,6,30,5.0,0,2.5,37,221,6.0,2,,Miles Sanders
2018*,Penn State,Big Ten,JR,RB,13,220,1274,5.8,9,98.0,24,139,5.8,0,10.7,244,1413,5.8,9,,Miles Sanders
Career,Career,Career,Career,RB,38,276,1649,6.0,12,43.4,32,193,6.0,1,5.1,308,1842,6.0,13,,Miles Sanders
