Season,Team,Conf,Class,Pos,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds.1,Y/R,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2019*,Iowa State,Big 12,FR,RB,12,186,897,4.8,9,74.8,23,252,11.0,1,21.0,209,1149,5.5,10,,Breece Hall
2020*,Iowa State,Big 12,SO,RB,12,279,1572,5.6,21,131.0,23,180,7.8,2,15.0,302,1752,5.8,23,H-6AA,Breece Hall
2021*,Iowa State,Big 12,JR,RB,12,253,1464,5.8,20,122.0,36,302,8.4,3,25.2,289,1766,6.1,23,H-10AA,Breece Hall
Career,Career,Career,Career,RB,36,718,3933,5.5,50,109.3,82,734,9.0,6,20.4,800,4667,5.8,56,,Breece Hall
