Season,Team,Conf,Class,Pos,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds.1,Y/R,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2021,Texas,Big 12,FR,RB,5,21,143,6.8,1,28.6,1,12,12.0,0,2.4,22,155,7.0,1,,Jonathon Brooks
2022*,Texas,Big 12,FR,RB,7,30,197,6.6,5,28.1,2,37,18.5,1,5.3,32,234,7.3,6,,Jonathon Brooks
2023*,Texas,Big 12,SO,RB,11,187,1139,6.1,10,103.5,25,286,11.4,1,26.0,212,1425,6.7,11,,Jonathon Brooks
Career,Career,Career,Career,RB,23,238,1479,6.2,16,64.3,28,335,12.0,2,14.6,266,1814,6.8,18,,Jonathon Brooks
