Season,Team,Conf,Class,Pos,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds.1,Y/R,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2017*,Boston College,ACC,FR,RB,13,300,1589,5.3,14,122.2,0,0,,0,0.0,300,1589,5.3,14,,AJ Dillon
2018,Boston College,ACC,SO,RB,10,227,1108,4.9,10,110.8,8,41,5.1,1,4.1,235,1149,4.9,11,,AJ Dillon
2019*,Boston College,ACC,JR,RB,13,318,1685,5.3,14,129.6,13,195,15.0,1,15.0,331,1880,5.7,15,,AJ Dillon
Career,Career,Career,Career,RB,36,845,4382,5.2,38,121.7,21,236,11.2,2,6.6,866,4618,5.3,40,,AJ Dillon
