Season,Team,Conf,Class,Pos,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds.1,Y/R,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2011*,Wisconsin,Big Ten,FR,RB,4,20,98,4.9,1,24.5,0,0,,0,0.0,20,98,4.9,1,,Melvin Gordon
2012*,Wisconsin,Big Ten,FR,RB,14,62,621,10.0,3,44.4,2,65,32.5,1,4.6,64,686,10.7,4,,Melvin Gordon
2013*,Wisconsin,Big Ten,SO,RB,13,206,1609,7.8,12,123.8,1,10,10.0,0,0.8,207,1619,7.8,12,,Melvin Gordon
2014*,Wisconsin,Big Ten,JR,RB,14,343,2587,7.5,29,184.8,19,153,8.1,3,10.9,362,2740,7.6,32,H-2AA,Melvin Gordon
Career,Career,Career,Career,RB,45,631,4915,7.8,45,109.2,22,228,10.4,4,5.1,653,5143,7.9,49,,Melvin Gordon
