Season,Team,Conf,Class,Pos,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds.1,Y/R,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2018,North Carolina,ACC,FR,RB,11,43,224,5.2,5,20.4,8,58,7.3,0,5.3,51,282,5.5,5,,Javonte Williams
2019*,North Carolina,ACC,SO,RB,13,166,933,5.6,5,71.8,17,176,10.4,1,13.5,183,1109,6.1,6,,Javonte Williams
2020*,North Carolina,ACC,JR,RB,11,157,1140,7.3,19,103.6,25,305,12.2,3,27.7,182,1445,7.9,22,,Javonte Williams
Career,Career,Career,Career,RB,35,366,2297,6.3,29,65.6,50,539,10.8,4,15.4,416,2836,6.8,33,,Javonte Williams
