Season,Team,Conf,Class,Pos,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds.1,Y/R,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2019*,Michigan,Big Ten,FR,RB,13.0,149.0,726.0,4.9,11.0,55.8,8.0,30.0,3.8,0.0,2.3,157.0,756.0,4.8,11.0,,Zach Charbonnet
2020,Michigan,Big Ten,SO,RB,5.0,19.0,124.0,6.5,1.0,24.8,6.0,41.0,6.8,0.0,8.2,25.0,165.0,6.6,1.0,,Zach Charbonnet
2021,UCLA,Pac-12,JR,RB,12.0,203.0,1137.0,5.6,13.0,94.8,24.0,197.0,8.2,0.0,16.4,227.0,1334.0,5.9,13.0,,Zach Charbonnet
2022*,UCLA,Pac-12,SR,RB,10.0,195.0,1359.0,7.0,14.0,135.9,37.0,321.0,8.7,0.0,32.1,232.0,1680.0,7.2,14.0,,Zach Charbonnet
Career,Career,Career,Career,RB,40.0,566.0,3346.0,5.9,39.0,83.7,75.0,589.0,7.9,0.0,14.7,641.0,3935.0,6.1,39.0,,Zach Charbonnet
,,,,RB,,,,,,,,,,,,,,,,,Zach Charbonnet
Michigan (2 Yrs),Michigan (2 Yrs),Michigan (2 Yrs),Michigan (2 Yrs),RB,18.0,168.0,850.0,5.1,12.0,47.2,14.0,71.0,5.1,0.0,3.9,182.0,921.0,5.1,12.0,,Zach Charbonnet
UCLA (2 Yrs),UCLA (2 Yrs),UCLA (2 Yrs),UCLA (2 Yrs),RB,22.0,398.0,2496.0,6.3,27.0,113.5,61.0,518.0,8.5,0.0,23.5,459.0,3014.0,6.6,27.0,,Zach Charbonnet
