Season,Team,Conf,Class,Pos,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds.1,Y/R,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2013*,Ohio State,Big Ten,FR,RB,7,30,262,8.7,2,37.4,3,23,7.7,1,3.3,33,285,8.6,3,,Ezekiel Elliott
2014*,Ohio State,Big Ten,SO,RB,15,273,1878,6.9,18,125.2,28,220,7.9,0,14.7,301,2098,7.0,18,,Ezekiel Elliott
2015*,Ohio State,Big Ten,JR,RB,13,289,1821,6.3,23,140.1,27,206,7.6,0,15.8,316,2027,6.4,23,H-8,Ezekiel Elliott
Career,Career,Career,Career,RB,35,592,3961,6.7,43,113.2,58,449,7.7,1,12.8,650,4410,6.8,44,,Ezekiel Elliott
