Season,Team,Conf,Class,Pos,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds.1,Y/R,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2014*,Georgia,SEC,FR,RB,13,219,1547,7.1,14,119.0,18,213,11.8,2,16.4,237,1760,7.4,16,,Nick Chubb
2015*,Georgia,SEC,SO,RB,6,92,747,8.1,7,124.5,4,32,8.0,1,5.3,96,779,8.1,8,,Nick Chubb
2016*,Georgia,SEC,JR,RB,13,224,1130,5.0,8,86.9,5,86,17.2,1,6.6,229,1216,5.3,9,,Nick Chubb
2017*,Georgia,SEC,SR,RB,15,223,1345,6.0,15,89.7,4,30,7.5,0,2.0,227,1375,6.1,15,,Nick Chubb
Career,Career,Career,Career,RB,47,758,4769,6.3,44,101.5,31,361,11.6,4,7.7,789,5130,6.5,48,,Nick Chubb
