Season,Team,Conf,Class,Pos,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds.1,Y/R,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2019*,Wake Forest,ACC,FR,RB,13.0,98.0,579.0,5.9,4.0,44.5,3.0,17.0,5.7,0.0,1.3,101.0,596.0,5.9,4.0,,Kenneth Walker III
2020*,Wake Forest,ACC,SO,RB,8.0,119.0,579.0,4.9,13.0,72.4,3.0,30.0,10.0,0.0,3.8,122.0,609.0,5.0,13.0,,Kenneth Walker III
2021*,Michigan State,Big Ten,JR,RB,12.0,263.0,1636.0,6.2,18.0,136.3,13.0,89.0,6.8,1.0,7.4,276.0,1725.0,6.3,19.0,H-6AACamp,Kenneth Walker III
Career,Career,Career,Career,RB,33.0,480.0,2794.0,5.8,35.0,84.7,19.0,136.0,7.2,1.0,4.1,499.0,2930.0,5.9,36.0,,Kenneth Walker III
,,,,RB,,,,,,,,,,,,,,,,,Kenneth Walker III
Michigan State (1 Yr),Michigan State (1 Yr),Michigan State (1 Yr),Michigan State (1 Yr),RB,12.0,263.0,1636.0,6.2,18.0,136.3,13.0,89.0,6.8,1.0,7.4,276.0,1725.0,6.3,19.0,,Kenneth Walker III
Wake Forest (2 Yrs),Wake Forest (2 Yrs),Wake Forest (2 Yrs),Wake Forest (2 Yrs),RB,21.0,217.0,1158.0,5.3,17.0,55.1,6.0,47.0,7.8,0.0,2.2,223.0,1205.0,5.4,17.0,,Kenneth Walker III
