Season,Team,Conf,Class,Pos,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds.1,Y/R,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2010*,Ohio State,Big Ten,FR,RB,7,24,141,5.9,0,20.1,0,0,,0,0.0,24,141,5.9,0,,Carlos Hyde
2011*,Ohio State,Big Ten,SO,RB,13,106,566,5.3,6,43.5,10,73,7.3,0,5.6,116,639,5.5,6,,Carlos Hyde
2012,Ohio State,Big Ten,JR,RB,10,185,970,5.2,16,97.0,8,51,6.4,1,5.1,193,1021,5.3,17,,Carlos Hyde
2013*,Ohio State,Big Ten,SR,RB,11,208,1521,7.3,15,138.3,16,147,9.2,3,13.4,224,1668,7.4,18,,Carlos Hyde
Career,Career,Career,Career,RB,41,523,3198,6.1,37,78.0,34,271,8.0,4,6.6,557,3469,6.2,41,,Carlos Hyde
