Season,Team,Conf,Class,Pos,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds.1,Y/R,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2020,Georgia Tech,ACC,FR,RB,7.0,89.0,460.0,5.2,4.0,65.7,24.0,303.0,12.6,3.0,43.3,113.0,763.0,6.8,7.0,,Jahmyr Gibbs
2021,Georgia Tech,ACC,FR,RB,12.0,143.0,746.0,5.2,4.0,62.2,36.0,470.0,13.1,2.0,39.2,179.0,1216.0,6.8,6.0,,Jahmyr Gibbs
2022*,Alabama,SEC,JR,RB,12.0,151.0,926.0,6.1,7.0,77.2,44.0,444.0,10.1,3.0,37.0,195.0,1370.0,7.0,10.0,,Jahmyr Gibbs
Career,Career,Career,Career,RB,31.0,383.0,2132.0,5.6,15.0,68.8,104.0,1217.0,11.7,8.0,39.3,487.0,3349.0,6.9,23.0,,Jahmyr Gibbs
,,,,RB,,,,,,,,,,,,,,,,,Jahmyr Gibbs
Alabama (1 Yr),Alabama (1 Yr),Alabama (1 Yr),Alabama (1 Yr),RB,12.0,151.0,926.0,6.1,7.0,77.2,44.0,444.0,10.1,3.0,37.0,195.0,1370.0,7.0,10.0,,Jahmyr Gibbs
Georgia Tech (2 Yrs),Georgia Tech (2 Yrs),Georgia Tech (2 Yrs),Georgia Tech (2 Yrs),RB,19.0,232.0,1206.0,5.2,8.0,63.5,60.0,773.0,12.9,5.0,40.7,292.0,1979.0,6.8,13.0,,Jahmyr Gibbs
