Season,Team,Conf,Class,Pos,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds.1,Y/R,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2018*,Georgia,SEC,FR,RB,13,41,284,6.9,2,21.8,8,89,11.1,0,6.8,49,373,7.6,2,,James Cook
2019*,Georgia,SEC,SO,RB,14,31,188,6.1,2,13.4,16,132,8.3,0,9.4,47,320,6.8,2,,James Cook
2020*,Georgia,SEC,JR,RB,8,45,303,6.7,3,37.9,16,225,14.1,2,28.1,61,528,8.7,5,,James Cook
2021*,Georgia,SEC,SR,RB,15,113,728,6.4,7,48.5,27,284,10.5,4,18.9,140,1012,7.2,11,,James Cook
Career,Career,Career,Career,RB,50,230,1503,6.5,14,30.1,67,730,10.9,6,14.6,297,2233,7.5,20,,James Cook
