Season,Team,Conf,Class,Pos,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds.1,Y/R,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2015*,Penn State,Big Ten,FR,RB,11,182,1076,5.9,7,97.8,20,161,8.1,1,14.6,202,1237,6.1,8,,Saquon Barkley
2016*,Penn State,Big Ten,SO,RB,14,272,1496,5.5,18,106.9,28,402,14.4,4,28.7,300,1898,6.3,22,,Saquon Barkley
2017*,Penn State,Big Ten,JR,RB,13,217,1271,5.9,18,97.8,54,632,11.7,3,48.6,271,1903,7.0,21,H-4AA,Saquon Barkley
Career,Career,Career,Career,RB,38,671,3843,5.7,43,101.1,102,1195,11.7,8,31.4,773,5038,6.5,51,,Saquon Barkley
