Season,Team,Conf,Class,Pos,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds.1,Y/R,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2016*,Alabama,SEC,FR,RB,15,85,567,6.7,4,37.8,14,156,11.1,0,10.4,99,723,7.3,4,,Josh Jacobs
2017*,Alabama,SEC,SO,RB,12,46,284,6.2,1,23.7,14,168,12.0,2,14.0,60,452,7.5,3,,Josh Jacobs
2018*,Alabama,SEC,JR,RB,15,120,640,5.3,11,42.7,20,247,12.4,3,16.5,140,887,6.3,14,,Josh Jacobs
Career,Career,Career,Career,RB,42,251,1491,5.9,16,35.5,48,571,11.9,5,13.6,299,2062,6.9,21,,Josh Jacobs
