Season,Team,Conf,Class,Pos,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds.1,Y/R,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2014*,LSU,SEC,FR,RB,13,187,1034,5.5,10,79.5,7,127,18.1,0,9.8,194,1161,6.0,10,,Leonard Fournette
2015*,LSU,SEC,SO,RB,12,300,1953,6.5,22,162.8,19,253,13.3,1,21.1,319,2206,6.9,23,H-6AA,Leonard Fournette
2016*,LSU,SEC,JR,RB,7,129,843,6.5,8,120.4,15,146,9.7,0,20.9,144,989,6.9,8,,Leonard Fournette
Career,Career,Career,Career,RB,32,616,3830,6.2,40,119.7,41,526,12.8,1,16.4,657,4356,6.6,41,,Leonard Fournette
