Season,Team,Conf,Class,Pos,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds.1,Y/R,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2015*,LSU,SEC,FR,RB,12,51,436,8.5,3,36.3,5,20,4.0,0,1.7,56,456,8.1,3,,Derrius Guice
2016*,LSU,SEC,SO,RB,12,183,1387,7.6,15,115.6,9,106,11.8,1,8.8,192,1493,7.8,16,,Derrius Guice
2017*,LSU,SEC,JR,RB,12,237,1251,5.3,11,104.3,18,124,6.9,2,10.3,255,1375,5.4,13,,Derrius Guice
Career,Career,Career,Career,RB,36,471,3074,6.5,29,85.4,32,250,7.8,3,6.9,503,3324,6.6,32,,Derrius Guice
