Season,Team,Conf,Class,Pos,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds.1,Y/R,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2015*,Oklahoma,Big 12,FR,RB,13,113,753,6.7,7,57.9,28,356,12.7,4,27.4,141,1109,7.9,11,,Joe Mixon
2016*,Oklahoma,Big 12,SO,RB,12,187,1274,6.8,10,106.2,37,538,14.5,5,44.8,224,1812,8.1,15,,Joe Mixon
Career,Career,Career,Career,RB,25,300,2027,6.8,17,81.1,65,894,13.8,9,35.8,365,2921,8.0,26,,Joe Mixon
