Season,Team,Conf,Class,Pos,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds.1,Y/R,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2012*,Alabama,SEC,FR,RB,14,175,1108,6.3,12,79.1,11,131,11.9,1,9.4,186,1239,6.7,13,,T.J. Yeldon
2013*,Alabama,SEC,,RB,12,207,1235,6.0,14,102.9,20,183,9.2,0,15.3,227,1418,6.2,14,,T.J. Yeldon
2014*,Alabama,SEC,JR,RB,13,194,979,5.0,11,75.3,15,180,12.0,1,13.8,209,1159,5.5,12,,T.J. Yeldon
Career,Career,Career,Career,RB,39,576,3322,5.8,37,85.2,46,494,10.7,2,12.7,622,3816,6.1,39,,T.J. Yeldon
