Season,Team,Conf,Class,Pos,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds.1,Y/R,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2013*,Alabama,SEC,FR,RB,10,35,382,10.9,3,38.2,1,61,61.0,1,6.1,36,443,12.3,4,,Derrick Henry
2014*,Alabama,SEC,SO,RB,14,172,990,5.8,11,70.7,5,133,26.6,2,9.5,177,1123,6.3,13,,Derrick Henry
2015*,Alabama,SEC,JR,RB,15,395,2219,5.6,28,147.9,11,91,8.3,0,6.1,406,2310,5.7,28,H-1MaxwellAACamp,Derrick Henry
Career,Career,Career,Career,RB,39,602,3591,6.0,42,92.1,17,285,16.8,3,7.3,619,3876,6.3,45,,Derrick Henry
