Season,Team,Conf,Class,Pos,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds.1,Y/R,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2017*,Wisconsin,Big Ten,FR,RB,14,299,1977,6.6,13,141.2,8,95,11.9,0,6.8,307,2072,6.7,13,H-6,Jonathan Taylor
2018*,Wisconsin,Big Ten,SO,RB,13,307,2194,7.1,16,168.8,8,60,7.5,0,4.6,315,2254,7.2,16,H-9AA,Jonathan Taylor
2019*,Wisconsin,Big Ten,JR,RB,14,320,2003,6.3,21,143.1,26,252,9.7,5,18.0,346,2255,6.5,26,H-5AA,Jonathan Taylor
Career,Career,Career,Career,RB,41,926,6174,6.7,50,150.6,42,407,9.7,5,9.9,968,6581,6.8,55,,Jonathan Taylor
