Season,Team,Conf,Class,Pos,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds.1,Y/R,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2011*,Washington,Pac-12,FR,RB,12,28,187,6.7,1,15.6,6,14,2.3,0,1.2,34,201,5.9,1,,Bishop Sankey
2012*,Washington,Pac-12,SO,RB,13,289,1439,5.0,16,110.7,33,249,7.5,0,19.2,322,1688,5.2,16,,Bishop Sankey
2013*,Washington,Pac-12,JR,RB,13,327,1870,5.7,20,143.8,28,304,10.9,1,23.4,355,2174,6.1,21,,Bishop Sankey
Career,Career,Career,Career,RB,38,644,3496,5.4,37,92.0,67,567,8.5,1,14.9,711,4063,5.7,38,,Bishop Sankey
