Season,Team,Conf,Class,Pos,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds.1,Y/R,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2017*,Ohio State,Big Ten,FR,RB,14,194,1403,7.2,7,100.2,22,135,6.1,1,9.6,216,1538,7.1,8,,J.K. Dobbins
2018*,Ohio State,Big Ten,SO,RB,14,230,1053,4.6,10,75.2,26,263,10.1,2,18.8,256,1316,5.1,12,,J.K. Dobbins
2019*,Ohio State,Big Ten,JR,RB,14,301,2003,6.7,21,143.1,23,247,10.7,2,17.6,324,2250,6.9,23,H-6,J.K. Dobbins
Career,Career,Career,Career,RB,42,725,4459,6.2,38,106.2,71,645,9.1,5,15.4,796,5104,6.4,43,,J.K. Dobbins
