Season,Team,Conf,Class,Pos,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds.1,Y/R,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2014*,Florida State,ACC,FR,RB,13,170,1008,5.9,8,77.5,22,203,9.2,0,15.6,192,1211,6.3,8,,Dalvin Cook
2015*,Florida State,ACC,SO,RB,12,229,1691,7.4,19,140.9,24,244,10.2,1,20.3,253,1935,7.6,20,H-7,Dalvin Cook
2016*,Florida State,ACC,JR,RB,13,288,1765,6.1,19,135.8,33,488,14.8,1,37.5,321,2253,7.0,20,H-10AA,Dalvin Cook
Career,Career,Career,Career,RB,38,687,4464,6.5,46,117.5,79,935,11.8,2,24.6,766,5399,7.0,48,,Dalvin Cook
