Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,Y/A,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2010,Vanderbilt,SEC,FR,WR,12,15,181,12.1,4,15.1,0,0,,0,0.0,15,181,12.1,4,,Jordan Matthews
2011*,Vanderbilt,SEC,SO,WR,13,41,778,19.0,5,59.8,0,0,,0,0.0,41,778,19.0,5,,Jordan Matthews
2012*,Vanderbilt,SEC,JR,WR,13,94,1323,14.1,8,101.8,3,61,20.3,1,4.7,97,1384,14.3,9,,Jordan Matthews
2013*,Vanderbilt,SEC,SR,WR,13,112,1477,13.2,7,113.6,6,54,9.0,0,4.2,118,1531,13.0,7,,Jordan Matthews
Career,Career,Career,Career,WR,51,262,3759,14.3,24,73.7,9,115,12.8,1,2.3,271,3874,14.3,25,,Jordan Matthews
