Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2018*,Michigan,Big Ten,,TE,1,0,0,,0,0.0,0,0,0,0.0,0,0,,0,,Luke Schoonmaker
2019*,Michigan,Big Ten,SO,TE,11,2,54,27.0,1,4.9,0,0,0,0.0,2,54,27.0,1,,Luke Schoonmaker
2020,Michigan,Big Ten,JR,TE,6,0,0,,0,0.0,0,0,0,0.0,0,0,,0,,Luke Schoonmaker
2021*,Michigan,Big Ten,SR,TE,14,17,165,9.7,3,11.8,0,0,0,0.0,17,165,9.7,3,,Luke Schoonmaker
2022*,Michigan,Big Ten,SR,TE,12,35,418,11.9,3,34.8,0,0,0,0.0,35,418,11.9,3,,Luke Schoonmaker
Career,Career,Career,Career,TE,44,54,637,11.8,7,14.5,0,0,0,0.0,54,637,11.8,7,,Luke Schoonmaker
