Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2018*,Cincinnati,American,FR,WR,11,0,0,,0,0.0,0,0,0,0.0,0,0,,0,,Alec Pierce
2019*,Cincinnati,American,SO,WR,14,37,652,17.6,2,46.6,0,0,0,0.0,37,652,17.6,2,,Alec Pierce
2020*,Cincinnati,American,JR,WR,6,17,315,18.5,3,52.5,0,0,0,0.0,17,315,18.5,3,,Alec Pierce
2021*,Cincinnati,American,SR,WR,14,52,884,17.0,7,63.1,0,0,0,0.0,52,884,17.0,7,,Alec Pierce
Career,Career,Career,Career,WR,45,106,1851,17.5,12,41.1,0,0,0,0.0,106,1851,17.5,12,,Alec Pierce
