Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2016*,Stanford,Pac-12,SO,WR,12,24,379,15.8,5,31.6,0,0,0,0.0,24,379,15.8,5,,JJ Arcega-Whiteside
2017*,Stanford,Pac-12,JR,WR,12,48,781,16.3,9,65.1,0,0,0,0.0,48,781,16.3,9,,JJ Arcega-Whiteside
2018*,Stanford,Pac-12,SR,WR,12,63,1059,16.8,14,88.3,0,0,0,0.0,63,1059,16.8,14,,JJ Arcega-Whiteside
Career,Career,Career,Career,WR,36,135,2219,16.4,28,61.6,0,0,0,0.0,135,2219,16.4,28,,JJ Arcega-Whiteside
