Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2011*,LSU,SEC,FR,WR,14,4,43,10.8,0,3.1,0,0,0,0.0,4,43,10.8,0,,Jarvis Landry
2012*,LSU,SEC,SO,WR,13,56,573,10.2,5,44.1,0,0,0,0.0,56,573,10.2,5,,Jarvis Landry
2013*,LSU,SEC,JR,WR,13,77,1193,15.5,10,91.8,0,0,0,0.0,77,1193,15.5,10,,Jarvis Landry
Career,Career,Career,Career,WR,40,137,1809,13.2,15,45.2,0,0,0,0.0,137,1809,13.2,15,,Jarvis Landry
