Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2012,Ohio State,Big Ten,FR,WR,11.0,3.0,22.0,7.3,0.0,2.0,0.0,0.0,0.0,0.0,3.0,22.0,7.3,0.0,,Michael Thomas
,,,,WR,,,,,,,,,,,,,,,,Michael Thomas
2014*,Ohio State,Big Ten,SO,WR,15.0,54.0,799.0,14.8,9.0,53.3,0.0,0.0,0.0,0.0,54.0,799.0,14.8,9.0,,Michael Thomas
2015*,Ohio State,Big Ten,JR,WR,13.0,56.0,781.0,13.9,9.0,60.1,0.0,0.0,0.0,0.0,56.0,781.0,13.9,9.0,,Michael Thomas
Career,Career,Career,Career,WR,39.0,113.0,1602.0,14.2,18.0,41.1,0.0,0.0,0.0,0.0,113.0,1602.0,14.2,18.0,,Michael Thomas
