Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,Y/A,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2019,Oregon State,Pac-12,FR,TE,12,2,18,9.0,0,1.5,0,0,,0,0.0,2,18,9.0,0,,Luke Musgrave
2020,Oregon State,Pac-12,SO,TE,7,12,142,11.8,0,20.3,0,0,,0,0.0,12,142,11.8,0,,Luke Musgrave
2021*,Oregon State,Pac-12,SO,TE,13,22,304,13.8,1,23.4,1,-1,-1.0,0,-0.1,23,303,13.2,1,,Luke Musgrave
2022*,Oregon State,Pac-12,JR,TE,2,11,169,15.4,1,84.5,0,0,,0,0.0,11,169,15.4,1,,Luke Musgrave
Career,Career,Career,Career,TE,34,47,633,13.5,2,18.6,1,-1,-1.0,0,0.0,48,632,13.2,2,,Luke Musgrave
