Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,Y/A,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2017*,Alabama,SEC,FR,WR,14,8,160,20.0,3,11.4,0,0,,0,0.0,8,160,20.0,3,,DeVonta Smith
2018*,Alabama,SEC,SO,WR,14,42,693,16.5,6,49.5,0,0,,0,0.0,42,693,16.5,6,,DeVonta Smith
2019*,Alabama,SEC,JR,WR,13,68,1256,18.5,14,96.6,0,0,,0,0.0,68,1256,18.5,14,,DeVonta Smith
2020*,Alabama,SEC,SR,WR,13,117,1856,15.9,23,142.8,4,6,1.5,1,0.5,121,1862,15.4,24,H-1MaxwellAACamp,DeVonta Smith
Career,Career,Career,Career,WR,54,235,3965,16.9,46,73.4,4,6,1.5,1,0.1,239,3971,16.6,47,,DeVonta Smith
