Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,Y/A,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2019,Nebraska,Big Ten,FR,WR,10.0,40.0,453.0,11.3,2.0,45.3,88.0,340.0,3.9,3.0,34.0,128.0,793.0,6.2,5.0,,Wan'Dale Robinson
2020,Nebraska,Big Ten,SO,WR,8.0,51.0,461.0,9.0,1.0,57.6,46.0,240.0,5.2,1.0,30.0,97.0,701.0,7.2,2.0,,Wan'Dale Robinson
2021*,Kentucky,SEC,JR,WR,13.0,104.0,1334.0,12.8,7.0,102.6,7.0,111.0,15.9,0.0,8.5,111.0,1445.0,13.0,7.0,,Wan'Dale Robinson
Career,Career,Career,Career,WR,31.0,195.0,2248.0,11.5,10.0,72.5,141.0,691.0,4.9,4.0,22.3,336.0,2939.0,8.7,14.0,,Wan'Dale Robinson
,,,,WR,,,,,,,,,,,,,,,,,Wan'Dale Robinson
Kentucky (1 Yr),Kentucky (1 Yr),Kentucky (1 Yr),Kentucky (1 Yr),WR,13.0,104.0,1334.0,12.8,7.0,102.6,7.0,111.0,15.9,0.0,8.5,111.0,1445.0,13.0,7.0,,Wan'Dale Robinson
Nebraska (2 Yrs),Nebraska (2 Yrs),Nebraska (2 Yrs),Nebraska (2 Yrs),WR,18.0,91.0,914.0,10.0,3.0,50.8,134.0,580.0,4.3,4.0,32.2,225.0,1494.0,6.6,7.0,,Wan'Dale Robinson
