Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,Y/A,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2020,Texas Christian,Big 12,FR,WR,9,22,487,22.1,2,54.1,3,3,1.0,2,0.3,25,490,19.6,4,,Quentin Johnston
2021,Texas Christian,Big 12,SO,WR,9,33,634,19.2,6,70.4,2,12,6.0,0,1.3,35,646,18.5,6,,Quentin Johnston
2022*,Texas Christian,Big 12,JR,WR,14,60,1069,17.8,6,76.4,3,-7,-2.3,0,-0.5,63,1062,16.9,6,,Quentin Johnston
Career,Career,Career,Career,WR,32,115,2190,19.0,14,68.4,8,8,1.0,2,0.3,123,2198,17.9,16,,Quentin Johnston
