Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2012*,Texas A&M,SEC,FR,WR,13,82,1105,13.5,5,85.0,0,0,0,0.0,82,1105,13.5,5,,Mike Evans
2013*,Texas A&M,SEC,SO,WR,13,69,1394,20.2,12,107.2,0,0,0,0.0,69,1394,20.2,12,AA,Mike Evans
Career,Career,Career,Career,WR,26,151,2499,16.5,17,96.1,0,0,0,0.0,151,2499,16.5,17,,Mike Evans
