Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,Y/A,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2016*,Georgia,SEC,FR,WR,11,0,0,,0,0.0,0,0,,0,0.0,0,0,,0,,Mecole Hardman
2017*,Georgia,SEC,SO,WR,15,25,418,16.7,4,27.9,8,61,7.6,2,4.1,33,479,14.5,6,,Mecole Hardman
2018*,Georgia,SEC,JR,WR,14,34,532,15.6,7,38.0,5,36,7.2,0,2.6,39,568,14.6,7,,Mecole Hardman
Career,Career,Career,Career,WR,40,59,950,16.1,11,23.8,13,97,7.5,2,2.4,72,1047,14.5,13,,Mecole Hardman
