Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,Y/A,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2021*,Georgia,SEC,FR,WR,15,31,447,14.4,5,29.8,4,44,11.0,1,2.9,35,491,14.0,6,,Ladd McConkey
2022*,Georgia,SEC,SO,WR,15,58,762,13.1,7,50.8,7,134,19.1,2,8.9,65,896,13.8,9,,Ladd McConkey
2023*,Georgia,SEC,JR,WR,9,30,478,15.9,2,53.1,2,38,19.0,1,4.2,32,516,16.1,3,,Ladd McConkey
Career,Career,Career,Career,WR,39,119,1687,14.2,14,43.3,13,216,16.6,4,5.5,132,1903,14.4,18,,Ladd McConkey
