Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,Y/A,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2012*,Florida State,ACC,FR,WR,14,30,495,16.5,4,35.4,2,33,16.5,0,2.4,32,528,16.5,4,,Kelvin Benjamin
2013*,Florida State,ACC,SO,WR,14,54,1011,18.7,15,72.2,0,0,,0,0.0,54,1011,18.7,15,,Kelvin Benjamin
Career,Career,Career,Career,WR,28,84,1506,17.9,19,53.8,2,33,16.5,0,1.2,86,1539,17.9,19,,Kelvin Benjamin
