Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,Y/A,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2018,Louisville,ACC,FR,WR,12,24,406,16.9,2,33.8,1,-5,-5.0,0,-0.4,25,401,16.0,2,,Tutu Atwell
2019*,Louisville,ACC,SO,WR,13,70,1276,18.2,12,98.2,8,29,3.6,0,2.2,78,1305,16.7,12,,Tutu Atwell
2020,Louisville,ACC,JR,WR,9,46,625,13.6,7,69.4,2,-2,-1.0,1,-0.2,48,623,13.0,8,,Tutu Atwell
Career,Career,Career,Career,WR,34,140,2307,16.5,21,67.9,11,22,2.0,1,0.6,151,2329,15.4,22,,Tutu Atwell
