Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,Y/A,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2019*,Ohio State,Big Ten,FR,WR,14,30,432,14.4,5,30.9,0,0,,0,0.0,30,432,14.4,5,,Garrett Wilson
2020*,Ohio State,Big Ten,SO,WR,8,43,723,16.8,6,90.4,2,67,33.5,0,8.4,45,790,17.6,6,,Garrett Wilson
2021*,Ohio State,Big Ten,JR,WR,11,70,1058,15.1,12,96.2,4,76,19.0,1,6.9,74,1134,15.3,13,,Garrett Wilson
Career,Career,Career,Career,WR,33,143,2213,15.5,23,67.1,6,143,23.8,1,4.3,149,2356,15.8,24,,Garrett Wilson
