Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,Y/A,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2019*,Ohio State,Big Ten,FR,WR,11.0,6.0,112.0,18.7,1.0,10.2,0.0,0.0,,0.0,0.0,6.0,112.0,18.7,1.0,,Jameson Williams
2020*,Ohio State,Big Ten,SO,WR,8.0,9.0,154.0,17.1,2.0,19.3,0.0,0.0,,0.0,0.0,9.0,154.0,17.1,2.0,,Jameson Williams
2021*,Alabama,SEC,JR,WR,15.0,79.0,1572.0,19.9,15.0,104.8,3.0,23.0,7.7,0.0,1.5,82.0,1595.0,19.5,15.0,,Jameson Williams
Career,Career,Career,Career,WR,34.0,94.0,1838.0,19.6,18.0,54.1,3.0,23.0,7.7,0.0,0.7,97.0,1861.0,19.2,18.0,,Jameson Williams
,,,,WR,,,,,,,,,,,,,,,,,Jameson Williams
Alabama (1 Yr),Alabama (1 Yr),Alabama (1 Yr),Alabama (1 Yr),WR,15.0,79.0,1572.0,19.9,15.0,104.8,3.0,23.0,7.7,0.0,1.5,82.0,1595.0,19.5,15.0,,Jameson Williams
Ohio State (2 Yrs),Ohio State (2 Yrs),Ohio State (2 Yrs),Ohio State (2 Yrs),WR,19.0,15.0,266.0,17.7,3.0,14.0,0.0,0.0,,0.0,0.0,15.0,266.0,17.7,3.0,,Jameson Williams
