Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,Y/A,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2013*,Pitt,ACC,FR,WR,13,85,1174,13.8,7,90.3,11,108,9.8,1,8.3,96,1282,13.4,8,,Tyler Boyd
2014*,Pitt,ACC,SO,WR,13,78,1261,16.2,8,97.0,12,63,5.3,0,4.8,90,1324,14.7,8,,Tyler Boyd
2015*,Pitt,ACC,JR,WR,12,91,926,10.2,6,77.2,40,349,8.7,0,29.1,131,1275,9.7,6,,Tyler Boyd
Career,Career,Career,Career,WR,38,254,3361,13.2,21,88.4,63,520,8.3,1,13.7,317,3881,12.2,22,,Tyler Boyd
