Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,Y/A,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2017*,Clemson,ACC,FR,WR,13,17,345,20.3,2,26.5,0,0,,0,0.0,17,345,20.3,2,,Tee Higgins
2018*,Clemson,ACC,SO,WR,15,59,936,15.9,12,62.4,0,0,,0,0.0,59,936,15.9,12,,Tee Higgins
2019*,Clemson,ACC,JR,WR,15,59,1167,19.8,13,77.8,1,36,36.0,1,2.4,60,1203,20.1,14,,Tee Higgins
Career,Career,Career,Career,WR,43,135,2448,18.1,27,56.9,1,36,36.0,1,0.8,136,2484,18.3,28,,Tee Higgins
