Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2014*,Washington,Pac-12,,TE,1,0,0,,0,0.0,0,0,0,0.0,0,0,,0,,Drew Sample
2015*,Washington,Pac-12,FR,TE,13,5,45,9.0,2,3.5,0,0,0,0.0,5,45,9.0,2,,Drew Sample
2016*,Washington,Pac-12,SO,TE,14,9,106,11.8,0,7.6,0,0,0,0.0,9,106,11.8,0,,Drew Sample
2017*,Washington,Pac-12,JR,TE,10,7,84,12.0,0,8.4,0,0,0,0.0,7,84,12.0,0,,Drew Sample
2018*,Washington,Pac-12,SR,TE,14,25,252,10.1,3,18.0,0,0,0,0.0,25,252,10.1,3,,Drew Sample
Career,Career,Career,Career,TE,52,46,487,10.6,5,9.4,0,0,0,0.0,46,487,10.6,5,,Drew Sample
