Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,Y/A,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2011*,LSU,SEC,FR,WR,14,41,475,11.6,2,33.9,2,19,9.5,0,1.4,43,494,11.5,2,,Odell Beckham Jr.
2012*,LSU,SEC,SO,WR,13,43,713,16.6,2,54.8,0,0,,0,0.0,43,713,16.6,2,,Odell Beckham Jr.
2013*,LSU,SEC,,WR,13,59,1152,19.5,8,88.6,5,58,11.6,0,4.5,64,1210,18.9,8,,Odell Beckham Jr.
Career,Career,Career,Career,WR,40,143,2340,16.4,12,58.5,7,77,11.0,0,1.9,150,2417,16.1,12,,Odell Beckham Jr.
