Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,Y/A,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2011*,Penn State,Big Ten,FR,WR,11,3,29,9.7,0,2.6,0,0,,0,0.0,3,29,9.7,0,,Allen Robinson
2012,Penn State,Big Ten,SO,WR,12,77,1018,13.2,11,84.8,0,0,,0,0.0,77,1018,13.2,11,,Allen Robinson
2013,Penn State,Big Ten,JR,WR,12,97,1432,14.8,6,119.3,6,36,6.0,0,3.0,103,1468,14.3,6,,Allen Robinson
Career,Career,Career,Career,WR,35,177,2479,14.0,17,70.8,6,36,6.0,0,1.0,183,2515,13.7,17,,Allen Robinson
