Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,Y/A,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2019,Ole Miss,SEC,FR,WR,12,12,172,14.3,1,14.3,0,0,,0,0.0,12,172,14.3,1,,Jonathan Mingo
2020*,Ole Miss,SEC,SO,WR,10,27,379,14.0,3,37.9,0,0,,0,0.0,27,379,14.0,3,,Jonathan Mingo
2021*,Ole Miss,SEC,JR,WR,6,22,346,15.7,3,57.7,0,0,,0,0.0,22,346,15.7,3,,Jonathan Mingo
2022*,Ole Miss,SEC,SR,WR,13,51,861,16.9,5,66.2,4,-7,-1.8,1,-0.5,55,854,15.5,6,,Jonathan Mingo
Career,Career,Career,Career,WR,41,112,1758,15.7,12,42.9,4,-7,-1.8,1,-0.2,116,1751,15.1,13,,Jonathan Mingo
