Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,Y/A,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2012*,USC,Pac-12,FR,WR,13,18,341,18.9,2,26.2,1,7,7.0,0,0.5,19,348,18.3,2,,Nelson Agholor
2013*,USC,Pac-12,SO,WR,14,56,918,16.4,6,65.6,2,8,4.0,0,0.6,58,926,16.0,6,,Nelson Agholor
2014*,USC,Pac-12,JR,WR,13,104,1313,12.6,12,101.0,4,3,0.8,0,0.2,108,1316,12.2,12,,Nelson Agholor
Career,Career,Career,Career,WR,40,178,2572,14.4,20,64.3,7,18,2.6,0,0.5,185,2590,14.0,20,,Nelson Agholor
