Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2019*,Georgia,SEC,FR,WR,14,49,727,14.8,8,51.9,0,0,0,0.0,49,727,14.8,8,,George Pickens
2020*,Georgia,SEC,SO,WR,8,36,513,14.3,6,64.1,0,0,0,0.0,36,513,14.3,6,,George Pickens
2021*,Georgia,SEC,JR,WR,4,5,107,21.4,0,26.8,0,0,0,0.0,5,107,21.4,0,,George Pickens
Career,Career,Career,Career,WR,26,90,1347,15.0,14,51.8,0,0,0,0.0,90,1347,15.0,14,,George Pickens
