Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2013*,Alabama,SEC,FR,TE,10,14,269,19.2,2,26.9,0,0,0,0.0,14,269,19.2,2,,O.J. Howard
2014*,Alabama,SEC,SO,TE,14,17,260,15.3,0,18.6,0,0,0,0.0,17,260,15.3,0,,O.J. Howard
2015*,Alabama,SEC,JR,TE,15,38,602,15.8,2,40.1,0,0,0,0.0,38,602,15.8,2,,O.J. Howard
2016*,Alabama,SEC,SR,TE,15,45,595,13.2,3,39.7,0,0,0,0.0,45,595,13.2,3,,O.J. Howard
Career,Career,Career,Career,TE,54,114,1726,15.1,7,32.0,0,0,0,0.0,114,1726,15.1,7,,O.J. Howard
