Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,Y/A,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2021*,Georgia,SEC,FR,TE,15,56,882,15.8,13,58.8,4,56,14.0,1,3.7,60,938,15.6,14,,Brock Bowers
2022*,Georgia,SEC,SO,TE,15,63,942,15.0,7,62.8,9,109,12.1,3,7.3,72,1051,14.6,10,,Brock Bowers
2023*,Georgia,SEC,JR,TE,10,56,714,12.8,6,71.4,6,28,4.7,1,2.8,62,742,12.0,7,AA,Brock Bowers
Career,Career,Career,Career,TE,40,175,2538,14.5,26,63.5,19,193,10.2,5,4.8,194,2731,14.1,31,,Brock Bowers
