Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,Y/A,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2020,Pitt,ACC,FR,WR,10.0,60.0,666.0,11.1,4.0,66.6,9.0,58.0,6.4,0.0,5.8,69.0,724.0,10.5,4.0,,Jordan Addison
2021*,Pitt,ACC,SO,WR,14.0,100.0,1593.0,15.9,17.0,113.8,7.0,56.0,8.0,1.0,4.0,107.0,1649.0,15.4,18.0,AA,Jordan Addison
2022*,USC,Pac-12,JR,WR,11.0,59.0,875.0,14.8,8.0,79.5,4.0,33.0,8.3,0.0,3.0,63.0,908.0,14.4,8.0,,Jordan Addison
Career,Career,Career,Career,WR,35.0,219.0,3134.0,14.3,29.0,89.5,20.0,147.0,7.4,1.0,4.2,239.0,3281.0,13.7,30.0,,Jordan Addison
,,,,WR,,,,,,,,,,,,,,,,,Jordan Addison
Pitt (2 Yrs),Pitt (2 Yrs),Pitt (2 Yrs),Pitt (2 Yrs),WR,24.0,160.0,2259.0,14.1,21.0,94.1,16.0,114.0,7.1,1.0,4.8,176.0,2373.0,13.5,22.0,,Jordan Addison
USC (1 Yr),USC (1 Yr),USC (1 Yr),USC (1 Yr),WR,11.0,59.0,875.0,14.8,8.0,79.5,4.0,33.0,8.3,0.0,3.0,63.0,908.0,14.4,8.0,,Jordan Addison
