Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2014*,Penn State,Big Ten,FR,TE,12,11,114,10.4,0,9.5,0,0,0,0.0,11,114,10.4,0,,Mike Gesicki
2015*,Penn State,Big Ten,SO,TE,12,13,125,9.6,1,10.4,0,0,0,0.0,13,125,9.6,1,,Mike Gesicki
2016*,Penn State,Big Ten,JR,TE,14,48,679,14.1,5,48.5,0,0,0,0.0,48,679,14.1,5,,Mike Gesicki
2017*,Penn State,Big Ten,SR,TE,13,57,563,9.9,9,43.3,0,0,0,0.0,57,563,9.9,9,,Mike Gesicki
Career,Career,Career,Career,TE,51,129,1481,11.5,15,29.0,0,0,0,0.0,129,1481,11.5,15,,Mike Gesicki
