Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2016,Ole Miss,SEC,FR,WR,2,2,13,6.5,2,6.5,0,0,0,0.0,2,13,6.5,2,,D.K. Metcalf
2017,Ole Miss,SEC,FR,WR,12,39,646,16.6,7,53.8,0,0,0,0.0,39,646,16.6,7,,D.K. Metcalf
2018,Ole Miss,SEC,SO,WR,7,26,569,21.9,5,81.3,0,0,0,0.0,26,569,21.9,5,,D.K. Metcalf
Career,Career,Career,Career,WR,21,67,1228,18.3,14,58.5,0,0,0,0.0,67,1228,18.3,14,,D.K. Metcalf
